Date,Open,High,Low,Close,Volume,Ticker,
19930520,1682.09998,1682.09998,1682.09998,1682.09998,1419600000,XJO,
19930521,1695.09998,1695.09998,1695.09998,1695.09998,475900000,XJO,
19930524,1683.69995,1683.69995,1683.69995,1683.69995,571699968,XJO,
19930525,1698.19995,1698.19995,1698.19995,1698.19995,629100032,XJO,
19930526,1719.5,1719.5,1719.5,1719.5,830600000,XJO,
19930527,1753.40002,1753.40002,1753.40002,1753.40002,1296800000,XJO,
19930528,1762.5,1762.5,1762.5,1762.5,2807399936,XJO,
19930531,1737.40002,1737.40002,1737.40002,1737.40002,957500032,XJO,
19930601,1732.80005,1732.80005,1732.80005,1732.80005,438400000,XJO,
19930602,1742.59998,1742.59998,1742.59998,1742.59998,738099968,XJO,
19930603,1741.19995,1741.19995,1741.19995,1741.19995,1282599936,XJO,
19930604,1739.80005,1739.80005,1739.80005,1739.80005,576099968,XJO,
19930607,1736.90002,1736.90002,1736.90002,1736.90002,769699968,XJO,
19930608,1721.90002,1721.90002,1721.90002,1721.90002,412800000,XJO,
19930609,1708.69995,1708.69995,1708.69995,1708.69995,548400000,XJO,
19930610,1713.59998,1713.59998,1713.59998,1713.59998,533800000,XJO,
19930611,1715.09998,1715.09998,1715.09998,1715.09998,71000000,XJO,
19930615,1726.5,1726.5,1726.5,1726.5,296000000,XJO,
19930616,1726,1726,1726,1726,464300000,XJO,
19930617,1728,1728,1728,1728,867800000,XJO,
19930618,1730.5,1730.5,1730.5,1730.5,273800000,XJO,
19930621,1726.80005,1726.80005,1726.80005,1726.80005,502300000,XJO,
19930622,1715.90002,1715.90002,1715.90002,1715.90002,569900032,XJO,
19930623,1697.69995,1697.69995,1697.69995,1697.69995,307900000,XJO,
19930624,1698.40002,1698.40002,1698.40002,1698.40002,79100000,XJO,
19930625,1699.09998,1699.09998,1699.09998,1699.09998,803800000,XJO,
19930628,1714.59998,1714.59998,1714.59998,1714.59998,622700032,XJO,
19930629,1716.80005,1716.80005,1716.80005,1716.80005,950800000,XJO,
19930630,1734.59998,1734.59998,1734.59998,1734.59998,758300032,XJO,
19930701,1752.30005,1752.30005,1752.30005,1752.30005,643600000,XJO,
19930702,1764,1764,1764,1764,1222000000,XJO,
19930705,1759.59998,1759.59998,1759.59998,1759.59998,889299968,XJO,
19930706,1757.30005,1757.30005,1757.30005,1757.30005,72500000,XJO,
19930707,1765.69995,1765.69995,1765.69995,1765.69995,923699968,XJO,
19930708,1775.80005,1775.80005,1775.80005,1775.80005,812800000,XJO,
19930709,1776.90002,1776.90002,1776.90002,1776.90002,517800000,XJO,
19930712,1797.5,1797.5,1797.5,1797.5,429700000,XJO,
19930713,1799.90002,1799.90002,1799.90002,1799.90002,427800000,XJO,
19930714,1801.30005,1801.30005,1801.30005,1801.30005,589699968,XJO,
19930715,1802.69995,1802.69995,1802.69995,1802.69995,736400000,XJO,
19930716,1796.80005,1796.80005,1796.80005,1796.80005,555100032,XJO,
19930719,1794.30005,1794.30005,1794.30005,1794.30005,237600000,XJO,
19930720,1803.80005,1803.80005,1803.80005,1803.80005,314800000,XJO,
19930721,1815.40002,1815.40002,1815.40002,1815.40002,609100032,XJO,
19930722,1799.5,1799.5,1799.5,1799.5,1207000064,XJO,
19930723,1804.40002,1804.40002,1804.40002,1804.40002,560800000,XJO,
19930726,1792.5,1792.5,1792.5,1792.5,407400000,XJO,
19930727,1810.30005,1810.30005,1810.30005,1810.30005,501600000,XJO,
19930728,1814.30005,1814.30005,1814.30005,1814.30005,782899968,XJO,
19930729,1824.09998,1824.09998,1824.09998,1824.09998,631600000,XJO,
19930730,1837.09998,1837.09998,1837.09998,1837.09998,946000000,XJO,
19930802,1846.69995,1846.69995,1846.69995,1846.69995,1127200000,XJO,
19930803,1847.09998,1847.09998,1847.09998,1847.09998,827200000,XJO,
19930804,1853.19995,1853.19995,1853.19995,1853.19995,755200000,XJO,
19930805,1857,1857,1857,1857,471700000,XJO,
19930806,1836,1836,1836,1836,826000000,XJO,
19930809,1837.19995,1837.19995,1837.19995,1837.19995,300900000,XJO,
19930810,1852.09998,1852.09998,1852.09998,1852.09998,1004499968,XJO,
19930811,1853.80005,1853.80005,1853.80005,1853.80005,607100032,XJO,
19930812,1868.19995,1868.19995,1868.19995,1868.19995,639900032,XJO,
19930813,1852.59998,1852.59998,1852.59998,1852.59998,454400000,XJO,
19930816,1867.19995,1867.19995,1867.19995,1867.19995,395700000,XJO,
19930817,1881.09998,1881.09998,1881.09998,1881.09998,953699968,XJO,
19930818,1891.30005,1891.30005,1891.30005,1891.30005,641200000,XJO,
19930819,1924,1924,1924,1924,624600000,XJO,
19930820,1923.90002,1923.90002,1923.90002,1923.90002,485900000,XJO,
19930823,1929.5,1929.5,1929.5,1929.5,390800000,XJO,
19930824,1919.5,1919.5,1919.5,1919.5,711800000,XJO,
19930825,1916.90002,1916.90002,1916.90002,1916.90002,570800000,XJO,
19930826,1937.40002,1937.40002,1937.40002,1937.40002,860000000,XJO,
19930827,1946.80005,1946.80005,1946.80005,1946.80005,1318899968,XJO,
19930830,1955,1955,1955,1955,361000000,XJO,
19930831,1961.59998,1961.59998,1961.59998,1961.59998,420100000,XJO,
19930901,1977.30005,1977.30005,1977.30005,1977.30005,1181400064,XJO,
19930902,1968.5,1968.5,1968.5,1968.5,902200000,XJO,
19930903,1953,1953,1953,1953,1002200000,XJO,
19930906,1919.5,1919.5,1919.5,1919.5,696800000,XJO,
19930907,1923.59998,1923.59998,1923.59998,1923.59998,706099968,XJO,
19930908,1895.69995,1895.69995,1895.69995,1895.69995,671600000,XJO,
19930909,1888.30005,1888.30005,1888.30005,1888.30005,613299968,XJO,
19930910,1896.59998,1896.59998,1896.59998,1896.59998,778499968,XJO,
19930913,1893.80005,1893.80005,1893.80005,1893.80005,543000000,XJO,
19930914,1870.09998,1870.09998,1870.09998,1870.09998,508000000,XJO,
19930915,1859.09998,1859.09998,1859.09998,1859.09998,572200000,XJO,
19930916,1856.5,1856.5,1856.5,1856.5,632200000,XJO,
19930917,1879.69995,1879.69995,1879.69995,1879.69995,555200000,XJO,
19930920,1878.40002,1878.40002,1878.40002,1878.40002,388800000,XJO,
19930921,1880.69995,1880.69995,1880.69995,1880.69995,576800000,XJO,
19930922,1874.69995,1874.69995,1874.69995,1874.69995,1033299968,XJO,
19930923,1884.5,1884.5,1884.5,1884.5,1636700032,XJO,
19930924,1902.30005,1902.30005,1902.30005,1902.30005,1107200000,XJO,
19930927,1897.69995,1897.69995,1897.69995,1897.69995,477200000,XJO,
19930928,1896.90002,1896.90002,1896.90002,1896.90002,365200000,XJO,
19930929,1906.80005,1906.80005,1906.80005,1906.80005,517800000,XJO,
19930930,1919.80005,1919.80005,1919.80005,1919.80005,332600000,XJO,
19931001,1928.80005,1928.80005,1928.80005,1928.80005,465300000,XJO,
19931004,1932.5,1932.5,1932.5,1932.5,123800000,XJO,
19931005,1955.59998,1955.59998,1955.59998,1955.59998,434500000,XJO,
19931006,1975.19995,1975.19995,1975.19995,1975.19995,761000000,XJO,
19931007,1976.5,1976.5,1976.5,1976.5,574899968,XJO,
19931008,1981.40002,1981.40002,1981.40002,1981.40002,550300032,XJO,
19931011,1994.09998,1994.09998,1994.09998,1994.09998,323800000,XJO,
19931012,1982,1982,1982,1982,609299968,XJO,
19931013,1993,1993,1993,1993,764200000,XJO,
19931014,2017.30005,2017.30005,2017.30005,2017.30005,1787100032,XJO,
19931015,2029.90002,2029.90002,2029.90002,2029.90002,1199200000,XJO,
19931018,2041.30005,2041.30005,2041.30005,2041.30005,544899968,XJO,
19931019,2030.80005,2030.80005,2030.80005,2030.80005,407200000,XJO,
19931020,2006.19995,2006.19995,2006.19995,2006.19995,1154400000,XJO,
19931021,2014.09998,2014.09998,2014.09998,2014.09998,1589100032,XJO,
19931022,2015.40002,2015.40002,2015.40002,2015.40002,384500000,XJO,
19931025,2001.30005,2001.30005,2001.30005,2001.30005,609600000,XJO,
19931026,2011.69995,2011.69995,2011.69995,2011.69995,2414000128,XJO,
19931027,2025.59998,2025.59998,2025.59998,2025.59998,539500032,XJO,
19931028,2033.90002,2033.90002,2033.90002,2033.90002,714600000,XJO,
19931029,2070.6001,2070.6001,2070.6001,2070.6001,1069600000,XJO,
19931101,2091.69995,2091.69995,2091.69995,2091.69995,436100000,XJO,
19931102,2084.1001,2084.1001,2084.1001,2084.1001,291900000,XJO,
19931103,2065.69995,2065.69995,2065.69995,2065.69995,403900000,XJO,
19931104,2058.80005,2058.80005,2058.80005,2058.80005,423900000,XJO,
19931105,2037.09998,2037.09998,2037.09998,2037.09998,419100000,XJO,
19931108,2009.69995,2009.69995,2009.69995,2009.69995,540499968,XJO,
19931109,2005.5,2005.5,2005.5,2005.5,326700000,XJO,
19931110,1997.5,1997.5,1997.5,1997.5,260800000,XJO,
19931111,2007.40002,2007.40002,2007.40002,2007.40002,622600000,XJO,
19931112,2029.5,2029.5,2029.5,2029.5,932499968,XJO,
19931115,2022.19995,2022.19995,2022.19995,2022.19995,1004899968,XJO,
19931116,2023,2023,2023,2023,519200000,XJO,
19931117,2044.30005,2044.30005,2044.30005,2044.30005,561600000,XJO,
19931118,2048.6001,2048.6001,2048.6001,2048.6001,320200000,XJO,
19931119,2022.90002,2022.90002,2022.90002,2022.90002,331600000,XJO,
19931122,1988.90002,1988.90002,1988.90002,1988.90002,477000000,XJO,
19931123,1950.19995,1950.19995,1950.19995,1950.19995,413600000,XJO,
19931124,1972.59998,1972.59998,1972.59998,1972.59998,474400000,XJO,
19931125,1982.59998,1982.59998,1982.59998,1982.59998,289200000,XJO,
19931126,1986.09998,1986.09998,1986.09998,1986.09998,2499500032,XJO,
19931129,1952.80005,1952.80005,1952.80005,1952.80005,243500000,XJO,
19931130,1953.69995,1953.69995,1953.69995,1953.69995,535400000,XJO,
19931201,1949,1949,1949,1949,408000000,XJO,
19931202,1993.5,1993.5,1993.5,1993.5,1349699968,XJO,
19931203,1991.90002,1991.90002,1991.90002,1991.90002,401100000,XJO,
19931206,1998.90002,1998.90002,1998.90002,1998.90002,353700000,XJO,
19931207,2019.09998,2019.09998,2019.09998,2019.09998,243300000,XJO,
19931208,2044.59998,2044.59998,2044.59998,2044.59998,614400000,XJO,
